preu_actual,preu_original,descompte,titol,enllaç,descripcio,agent_nom,parking,tags,habs,metres2
1.790.000€,,0%,"Pis a carrer de Roger de Llúria, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/105423649/,"Ubicat en un dels barris més prestigiosos de Barcelona, aquest espectacular pis es troba a només dues illes de l'icònic Passeig de Gràcia. L´Eixample Dret és conegut pel seu vibrant estil de vida, amb fàcil accés a botigues de luxe, llocs culturals i una àmplia varietat de restaurants excepcionals. La propietat està situada en un edifici modernista del 1920 en perfectes condicions i compta amb ascensor. Amb una superfície construïda de 189m², aquest habitatge ofereix tres habitacions i quatre banys, distribuïts en un disseny elegant i funcion",Walter Haus Barcelona,No indicat,Luxe,3,189
3.200.000€,,0%,"Pis a passeig de Gràcia, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/100732351/,"En el corazón de Barcelona, en la avenida más prestigiosa de la ciudad, encontramos esta espléndida propiedad con espectaculares vistas a la Pedrera completamente reformada. Desde el recibidor se separa claramente la zona de día compuesta por un amplio salón-comedor con salida a tres balcones a Paseo de Gracia, una gran cocina independiente tipo office con mucho espacio de almacenaje y electrodomésticos de alta gama, y un aseo de cortesía. En la zona de noche encontramos la máster suite con vestidor y baño completo. Dos dormitorios de buen tam",Max Ricart,No indicat,Luxe,4,228
820.000€,877.000 €,6%,"Pis a carrer Ample, El Gòtic, Barcelona",https://www.idealista.com/ca/inmueble/106252967/,"Encantador pis en venda de 155 m², en una finca rehabilitada amb ascensor, ubicat al costat del Passeig de Colom i el Port Vell. L’habitatge disposa d’un ampli i lluminós saló-menjador amb accés a un balcó amb vistes al carrer. La cuina americana s’integra harmoniosament a l’espai i es troba completament equipada amb electrodomèstics de qualitat. A la zona de nit es troben dues habitacions dobles en suite i una tercera habitació doble amb un bany complet independent. Completa l’habitatge una zona d’aigües. La propietat ofereix acabats de quali",ATIPIKA Lifestyle Properties,No indicat,,3,155
630.000€,,0%,"Pis a carrer de Roger de Llúria, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/102028812/,"A pocos metros de Arc de Triomf y del Parc de la Ciutadella, encontramos esta bonita y acogedora propiedad. Está situada en una segunda planta real, en una finca regia con ascensor. Tiene una superficie de 111 m² y actualmente consta de amplio salón comedor orientado a la calle Trafalgar y salida a dos balcones, una cocina totalmente equipada de estilo abierto. La zona de noche tiene una habitación doble con vestidor y vistas a amplio patio de manzana, un cuarto de baño grande. Existe la posibilidad de crear otro dormitorio, según convenga.",Max Ricart,No indicat,,1,116
3.790.000€,,0%,"Xalet adossat a carrer de Sant Pere Claver, Sarrià, Barcelona",https://www.idealista.com/ca/inmueble/102732271/,"Muy cerca de los principales colegios internacionales, presentamos esta preciosa casa ideal para familias, tanto por ubicación como por la distribución de sus espacios. La vivienda se distribuye en tres plantas de la siguiente forma: Accedemos a la planta principal donde encontramos el amplio salón comedor desde el que accedemos tanto a un bonito despacho/ biblioteca, como a la gran cocina con zona de office e isla central. Todos los espacios con gran cristalera y vistas al jardín que rodea la propiedad. Accedemos a la primera planta a través",Max Ricart,Pàrking inclòs,Luxe,5,605
1.290.000€,,0%,"Pis a carrer de Ferran Valls i Taberner, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/ca/inmueble/104648836/,"Espectacular propietat, única a la zona, de 297m2 construïts (interiors d'habitatge) segons plànol i gran terrassa de 185m2 al meravellós i emblemàtic carrer Ferran Valls i Taberner, a Ple Galvany, tocant el Parc de Monterols. Es tracta d'un gran habitatge, completament exterior, amb àmplies estances, assolellades i tranquil·les. Requereix reforma integral i pot esdevenir un meravellós habitatge familiar de 5/6 dormitoris, amb 3 o 4 banys, una gran cuina oberta o semioberta amb gran illa amb vistes a l'exterior i una espectacular zona de dia, a",Proddigia Barcelona,No indicat,,6,297
740.000€,,0%,"Pis a carrer de París, La Nova Esquerra de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/106122928/,"PIS EN VENDA REFORMAT DE TRES HABITACIONS A LA NOVA ESQUERRA DE L'EIXAMPLE Al carrer París a poca distància a peu de l'Avinguda de Josep Tarradellas, una de les zones més demandades de la ciutat, trobem aquest preciós pis de 114mq amb terrasa de 8m2 llest per entrar a viure en un edifici amb servei de consergeria i ascensors i amb possibilitat de pàrquing a la finca confrontant.   L´entrada del pis és acollidora i funcional. A la dreta hi ha un ampli armari que serveix tant d'emmagatzematge com d'element divisori mentre que l'armari modular d",aProperties Real Estate Barcelona,No indicat,,3,118
799.000€,,0%,"Pis a Vila de Gràcia, Barcelona",https://www.idealista.com/ca/inmueble/106273182/,"Una veritable joia al cor de Gràcia Aquest habitatge està ubicat en un edifici historicista original, considerat una joia arquitectònica de la ciutat. Obra de l'arquitecte August Font i Carreras, es va acabar el 1906 i es va ampliar posteriorment amb la torre campanar i el rellotge el 1935. La finca, presidida per les finestres germinades, totes tenen tres obertures, dividides verticalment per dues columnetes que sostenen tres arcs lobulats i la façana és plena d'elements d'inspiració gòtica però lliurement interpretats. Un ampli rebedor ens d",Engel & Völkers Barcelona,No indicat,,2,130
2.420.000€,,0%,"Casa o xalet independent a Sarrià, Barcelona",https://www.idealista.com/ca/inmueble/104680716/,"Encantadora casa reformada a Sarrià. Engel&Völkers us presenta aquesta atractiva casa a 4 vents amb acollidor jardí privat situada en una de les zones més exclusives de Sarrià. La propietat, construïda el 1930, ha estat reformada integralment mantenint l'estructura original de la casa amb les seves façanes singulars i amb un disseny interior molt actual i confortable. Té molt d'encant. L'habitatge es divideix en tres plantes amb una distribució funcional dissenyada per poder gaudir de la seva lluminositat, tota amb prestacions de màxima qualita",Engel & Völkers Barcelona,No indicat,Luxe,4,246
1.790.000€,,0%,"Pis a La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/105608424/,"Espectacular pis de luxe a Eixample Descobreix aquest pis reformat situat al bell mig de l'Eixample Dret, un dels barris més cotitzats de Barcelona. Ubicat en un edifici modernista molt ben conservat i amb ascensor. Compte amb sis encantadors balcons que ofereixen abundant llum natural i una vista vibrant de la ciutat. Amb una superfície generosa de 189 m², aquesta luxosa casa ha estat renovada meticulosament. La renovació combina magistralment acabats contemporanis d´alta qualitat amb elements originals, creant un espai habitable únic i elega",Engel & Völkers Barcelona,No indicat,Luxe,3,189
3.650.000€,,0%,"Àtic a Pedralbes, Barcelona",https://www.idealista.com/ca/inmueble/104919516/,"Impressionant àtic dúplex reformat a estrenar a Pedralbes Engel & Völkers els presenta aquest magnífic habitatge dividit en dues plantes, totalment reformada, que va ser dissenyada per a combinar un disseny modern i actual amb l'elegància atemporal que l'edifici on es troba, construït en 1955, i catalogat com a patrimoni històric de la ciutat, requeria. Totes les estades són exteriors, els espais, molt amplis i generosos, permeten l'entrada de sol i llum tot el dia. És un habitatge càlid, acollidora, alhora que elegant i espectacular. Els mater",Engel & Völkers Barcelona,Pàrking inclòs,"Vistes al mar, Luxe",4,407
1.150.000€,,0%,"Pis a Les Tres Torres, Barcelona",https://www.idealista.com/ca/inmueble/105907186/,"Lluminós pis amb terrassa i dos pàrquings a Tres Torres Us presentem aquesta fabulós i exclusiu habitatge alt en Tres Torres amb terrassa, vistes àmplies i moltíssima llum en tota la propietat. Destaca per la seva amplitud i lluminositat, és exterior a dos vents, té àmplies estades exteriors. Amb una distribució en dues zones diferenciades, diürna i nocturna, és ideal per a famílies que busquen comoditat, privacitat i bona comunicació. Disposa totes les característiques d'una llar ideal en la zona alta de Barcelona. Orientació sud oest fabulosa",Engel & Völkers Barcelona,Pàrking inclòs,,4,185
1.140.000€,,0%,"Pis a El Gòtic, Barcelona",https://www.idealista.com/ca/inmueble/105228892/,"Exclusiva propietat a estrenar amb jardí interior a finca senyorial Engel & Völkers presenta propietat única a estrenar en finca senyorial. Està ubicada en un dels carrers amb més encant del barri Gòtic, al centre de Ciutat Vella hi ha escassos metres del mar. Accedim a la propietat a través d´un jardí interior privat d´uns 25m2 amb accés directe a la zona de dia, que es composa d´un espai diàfan de 80m2 amb sostres de més de 5 metres d´alçada (16.5 feet), aquí tambe hi trobem la cuina totalment equipada amb electrodomèstics d´alta gamma i una",Engel & Völkers Barcelona,No indicat,,3,185
785.000€,,0%,"Pis a passeig de Sant Gervasi, Sant Gervasi - La Bonanova, Barcelona",https://www.idealista.com/ca/inmueble/104744247/,"**Text translated into catalan language: ** ""Ethik Real Estate presenta aquest espectacular habitatge amb gran terrassa de 67m2 situada en l'apreciat Passeig de Sant Gervasi! Amb una ubicació privilegiada a la zona alta, aquest edifici ofereix una entrada impressionant, 2 ascensors un d'ells amb entrada independent per al servei, consergeria i lliuraments de tot tipus que permet la privacitat i tranquil·litat a la teva llar. El pis en si és una joia, amb un ampli saló-menjador de 35 m2 que ofereix vistes encantadores al Passeig Sant Gervasi,",Ethic Real Estate,No indicat,En exclusiva,5,197
680.000€,,0%,"Pis a Provençals del Poblenou, Barcelona",https://www.idealista.com/ca/inmueble/106219774/,"Pis de 4 dormitoris lluminós amb terrassa a Poblenou-Glories Magnífic pis de La Clau d'Or de 110 metres d'habitatge, amb una estupenda terrassa de 10 metres. L'habitatge consta de 4 dormitoris, un dels quals en suite, un ampli i assolellat saló-menjador amb sortida a la terrassa (*10m) i cuina independent. Finalment, tenim 2 lavabos complets, un amb banyera gran i l'altre amb dutxa. Disposa d'armaris de paret en diverses estades. La distribució és excel·lent i el pis està impecable i en perfecte estat, té aire condicionat per conductes i calefa",Engel & Völkers Barcelona,Pàrking opc. 35.000 €,,4,110
775.000€,,0%,"Dúplex a El Poblenou, Barcelona",https://www.idealista.com/ca/inmueble/106118196/,"Preciós dúplex d'obra nova amb terrassa en Poblenou Reforma integral d'un dúplex al cor del Poblenou. La propietat compta amb 105 m² construïts i gaudeix d'una terrassa molt agradable i assolellada (orientada al sud) de 15 m² que comunica amb la sala d'estar a través de grans finestrals. A la planta baixa hi trobem un rebedor de doble alçada amb un ampli espai per a les bicicletes; la sala d'estar amb el menjador integrat i la cuina oberta, una habitació de matrimoni amb bany en suite i un lavabo de cortesia; a la segona planta, 2 habitacions i",Engel & Völkers Barcelona,No indicat,,3,121
860.000€,,0%,"Pis a El Gòtic, Barcelona",https://www.idealista.com/ca/inmueble/101401639/,"Apartamento completamente reformado con detalles típicos de la arquitectura local. La planta es prácticamente cuadrada, con su mitad ocupada por un amplio salón comedor y una cocina abierta espectacular. La otra parte incluye dos habitaciones dobles, dos baños, un vestidor y el recibidor. Lo mejor es la luz directa que entra a través de sus 6 balconeras, 4 en el salón comedor y cocina y las otras 2 en cada habitación. El apartamento se encuentra en la primera planta, una segunda real. Tiene mucha altura en relación a las dos calles peatonales",Max Ricart,No indicat,,2,126
980.000€,1.050.000 €,7%,"Pis a carrer de Provença, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/106147900/,"GuinotPrunera presenta peça única al cor de l'Eixample Dreta a bonica finca règia de 1899. Els seus 187 m² construïts (aprox. 167m² útils), ofereixen actualment un ampli i lluminós saló menjador amb glorieta a carrer, 2 habitacions dobles, dues individuals i dues cambres de bany complets. El pis es troba en estat original i necessita ser reformat oferint excel·lents oportunitats de noves distribucions. Cuina àmplia amb zona office, passadissos d'amplada molt generosa, sostres alts i cassetonats, llar de foc al saló principal, saleta annexa al s",GuinotPrunera-somos ALTHENA,Pàrking inclòs,,4,187
1.640.000€,,0%,"Pis a passeig de Sant Joan, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/100587294/,"Pis reformat al Paseo Sant Joan de l'Eixample Ens complau presentar-vos aquest excel·lent pis reformat en una prestigiosa avinguda al cor de Barcelona. El pis està ubicat en un edifici reial històric de l'any 1900 que ha sofert una reforma integral de zones comunes, equipaments mecànics, així com una restauració de l'ascensor original, la façana de l'edifici i l'escala principal. La casa compta amb una renovació impressionant amb tots els nous materials i instal·lacions a tot arreu, però manté el clàssic sostre de volta catalana a la sala d'e",Engel & Völkers Barcelona,No indicat,Luxe,3,199
845.000€,,0%,"Pis a carrer de Viladomat, La Nova Esquerra de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/104757452/,"Espectacular dúplex a L'Eixample de Barcelona Presentem aquest preciós dúplex situat a una finca de l'any 1999 a la cobejada zona de l'Eixample de Barcelona. Amb una superfície de 160 m², l'habitatge s'ubica a una quarta planta i es distribueix en dos nivells, oferint un espai ampli i lluminós ideal per a la vida urbana. A la planta baixa, trobem la zona de dia, que compta amb un ampli saló menjador i una cuina moderna amb illa oberta al saló, completament equipada amb tots els electrodomèstics i amb abundant espai d'emmagatzematge. A més, hi",Chrysol Value Real Estate,No indicat,,3,162
1.200.000€,,0%,"Dúplex a carrer de Johann Sebastian Bach, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/ca/inmueble/105559224/,"Si vols viure en una de les millors zones de Barcelona i albirar des de les altures la ciutat comtal, aquest és el teu pis. Es tracta d´un àtic dúplex amb una terrassa on podràs gaudir de la llum del sol tot l´any i dels sopars des de primavera fins a la tardor. A la planta principal un saló menjador amb sortida a terrassa, una cuina totalment equipada, 2 habitacions dobles (una amb sortida exterior), 1 bany complet i 1 lavabo de cortesia amb zona de rentat. A la planta superior 1 habitació en suite amb bany complet (banyera d'hidromassatge)",Chrysol Value Real Estate,Pàrking inclòs,,4,168
1.580.000€,,0%,"Dúplex a via Augusta, Les Tres Torres, Barcelona",https://www.idealista.com/ca/inmueble/104351249/,"Gran Àtic amb vistes prop de Dr fleming es tracta d'un àtic dúplex al pis consta de quatre habitacions amb amb tres banys una gran suite el salo de tres ambients amb saló de 50 m2 una gran cuina offices i safareig, per poder accedir a la terrassa s'accedeix per ascensor hidràulics interior al pis, a la part de dalt hi ha una sala de 18 m2 més una terrassa de 90 m2 amb dos plaça d'aparcament a la mateixa finca. envoltat de transport públic i centres comercials, un gran pis per veure.",PEDROOCHOA,Pàrking inclòs,Luxe,5,250
1.800.000€,,0%,"Pis a carrer de Pau Claris, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/105672649/,"Tenim el plaer de presentar-los una propietat de les que poques queden a Barcelona. Es tracta d'un pis senyorial i cantoner de més de 200 m2, ubicat al Quadrat d'Or de Barcelona, on només arribar a la porta de l'habitatge, un s'adona de les seves dimensions i majestuositat. La propietat actualment manté la distribució inicial amb àmplies estades tenint l'opció de mantenir la distribució existent o bé plantejar una reforma més actual respectant els detalls que caracteritzen aquest habitatge: sostres alts (alçada 3,42), rosetons, motllures arte",Chrysol Value Real Estate,No indicat,,6,246
1.290.000€,,0%,"Pis a carrer de Ferran Valls i Taberner, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/ca/inmueble/105515026/,"La finca on es troba aquesta planta baixa exterior és una construcció sòlida i ben mantinguda, ubicada en una de les zones més tranquil·les de Sant Gervasi, Barcelona. El seu entorn està envoltat de parcs i àrees verdes, la qual cosa contribueix a una atmosfera serena i relaxada. A més, la finca es troba en un carrer tranquil, la qual cosa proporciona privacitat i una sensació de seguretat per als residents. La seva estructura ben conservada i les seves instal·lacions modernes la converteixen en un lloc còmode per viure. La presència de zones",PEDROOCHOA,Pàrking opc. 50.000 €,,5,298
2.450.000€,,0%,"Àtic a Diagonal Mar i el Front Marítim del Poblenou, Barcelona",https://www.idealista.com/ca/inmueble/106335438/,"Exclusiu àtic en venda de 183 m² amb piscina privada i vistes al mar a Diagonal Mar. La comunitat compta amb una àmplia gamma de serveis, incloent piscina comunitària, jardins, pistes de pàdel, àrea de jocs, consergeria, càmeres de seguretat, dues places d'aparcament, ascensor i gimnàs. En entrar a la vivenda, et reb un ampli i lluminós saló que ofereix impressionants vistes al mar, la ciutat i la muntanya. El disseny obert del saló, situat al cor de l'èmfasi, permet gaudir de vistes panoràmiques des de tots els angles. La cuina americana, int",ATIPIKA Lifestyle Properties,Pàrking inclòs,"Vistes al mar, Luxe",2,183
1.490.000€,,0%,"Dúplex a Les Tres Torres, Barcelona",https://www.idealista.com/ca/inmueble/104919721/,"Presentem aquest impressionant dúplex de gamma alta situat a la prestigiosa zona de Tres Torres, ideal per a aquells que busquen la combinació perfecta de luxe, confort i estil. A la planta baixa, hi trobem un gran saló-menjador de disseny obert que es connecta perfectament amb la espectacular terrassa enjardinada, creant un espai ideal per al dia a dia i per a les vetllades nocturnes més especials. La cuina moderna està totalment equipada amb electrodomèstics d'alta gamma i inclou un sistema d'osmosi per garantir la millor qualitat d'aigua. A",Chrysol Value Real Estate,Pàrking inclòs,,4,183
750.000€,,0%,"Dúplex a carrer del Rosselló, La Nova Esquerra de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/104224197/,"Des d'Inforyatrica i en EXCLUSIVA, us presentem aquest meravellós Àtic Dúplex, situat a la Nova Esquerra de l'Eixample. Destacar que degut a la seva còmoda distribució i els acabats de màxima qualitat, s'ha creat una peça única a la zona i amb un estil de vida inigualable. Es tracta d'una sisena planta d'alçada, amb una superfície total de 183 m² construïts i repartits en dues plantes inundades de llum i comunicades a través d'una elegant escala d'ebenisteria amb estructura de ferro. L'entrada a la propietat, disposem d'un rebedor molt acolli",Inforyatrica,No indicat,,4,183
1.425.000€,1.500.000 €,5%,"Pis a carrer de Roger de Llúria, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/104249392/,"Lucas Fox presenta aquest habitatge de luxe amb una reforma que conserva gran part dels seus elements originals, com els terres, estucs i fusteries. Se situa a l'emblemàtic edifici conegut com a Casa Calvet, catalogat per Patrimoni pels seus detalls característics del modernisme català. Després d'una reforma exhaustiva, els 160 m 2 d'aquest pis tenen una enorme zona de dia orientada al carrer Roger de Llúria amb sortida a dos balcons i una cuina de disseny integrada de manera excel·lent a l'espai. A més, al costat de la zona de dia tenim un b",Lucas Fox,No indicat,,3,161
950.000€,,0%,"Pis a carrer de Ganduxer, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/ca/inmueble/105097292/,Guinot Prunera som Althena presenta fantàstic habitatge a Ganduxer en una desena altura. Es tracta d'un pis en tres nivells a la finca de solera de l'any 1969 en una comunitat envoltada de zones verdes ia 3 minuts del Turo Park. Entrada per planta superior amb immens rebedor amb diversos cossos d'armaris encastats. A aquesta entrada tan folgada se li pot donar un ús com a despatx i alguns veïns hi han instal·lat una habitació. La planta menys un ofereix la zona de dia amb saló menjador i gran terrassa habitable i amb vistes al mar. Cuina indepe,GuinotPrunera-somos ALTHENA,No indicat,Vistes al mar,3,157
380.000€,,0%,"Pis a ronda de Sant Pau, Sant Antoni, Barcelona",https://www.idealista.com/ca/inmueble/106017397/,"Savills presenta aquest encantador i lluminós pis de 75 m², una excel·lent oportunitat de reforma, situat al cor del famós barri de Sant Antoni. Ubicat a la Ronda Sant Pau, molt a prop del Paral·lel, aquest immoble ofereix un gran potencial per crear un primer habitatge o com a inversió en un barri en ple auge de la Ciutat Comtal. L'habitatge consta de 2 estades, una àmplia cuina amb espai per a menjars i reunions socials en un sol ambient, i un bany complet. El pis compta amb dos balcons de 3 m², un orientat cap a la Ronda Sant Pau i l'altre",Savills Residencial,No indicat,,1,75
350.000€,,0%,"Pis a carrer de Sardenya, El Camp d'En Grassot i Gràcia Nova, Barcelona",https://www.idealista.com/ca/inmueble/105361034/,"Guinot Prunera presenta lluminós pis a finca règia de 1950. La superfície de 89 m² segons cadastre, ofereix saló-menjador, 4 habitacions (2 dobles), cuina independent, bany gran complet i un gran safareig. Es tracta d'un habitatge molt lluminós ja que no hi ha cap construcció en diagonal (camp de futbol del Club de Futbol Europa) que permet l'entrada de llum directa. D'altra banda, destacar que seria molt fàcil fer una intervenció per obtenir 2 banys complets i deixar-ho en 3 habitacions. Finca amb bona presència, bonica porteria i servei d´asc",GuinotPrunera-somos ALTHENA,No indicat,,4,89
760.000€,,0%,"Pis a carrer del Consell de Cent, L'Antiga Esquerra de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/105449524/,"Savills presenta aquest meravellós pis en venda de 133 m2 a L'Antiga Esquerra de l'Eixample, amb una terrassa exclusiva de 60m2. Està en una espectacular Finca Regia que ha estat completament reformada, conservant els elements originals. La propietat compta amb un lluminós saló amb balcó, que s'afronta al carrer peatonal de Consell de Cent, proporcionant un ambient càlid i acollidor gràcies als seus sostres alts i generosos finestrals. L'habitatge consta de 5 habitacions, sent la principal una suite de 24m2 i vestidor; un altre bany complet,",Savills Residencial,No indicat,,5,133
875.000€,895.000 €,2%,"Pis a carrer de Balmes, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/ca/inmueble/105614417/,"Esta bonita propiedad ubicada en una planta alta de una preciosa finca regia, consta de 138m2 distribuidos en una gran habitación principal exterior, seguida de 2 habitaciones individuales, 2 baños y un gran salón comedor con cocina americana orientado a la calle. El diseño interior mezcla lo clásico y lo contemporáneo, con suelos de parqué de roble y gres porcelánico, así como detalles en madera blanca satinada. Las cocinas están equipadas con electrodomésticos de la marca Bosch y encimeras de mármol blanco Ibiza. Además, el edificio cuenta",Max Ricart,No indicat,,3,138
1.950.000€,2.100.000 €,7%,"Pis a Sant Gervasi - La Bonanova, Barcelona",https://www.idealista.com/ca/inmueble/104168550/,"Exclusiu pis amb jardí i piscina a Bonanova Espectacular propietat amb jardí i piscina privada a una de les urbanitzacions més exclusives de la ciutat. En un entorn privilegiat, envoltat de zones verdes, trobem aquest meravellós i ampli habitatge. Consta d´un saló menjador amb accés directe al jardí davanter amb piscina privada; cuina independent; tres dormitoris i dos banys (un en suite) amb sortida al jardí del darrere des de les 3 habitacions i un lavabo de cortesia a la planta baixa i, a la planta inferior, disposa d'una sala diàfana on es",Engel & Völkers Barcelona,Pàrking opc. 33.000 €,Luxe,4,182
1.000.000€,,0%,"Pis a passeig de Sant Gervasi, Sant Gervasi - La Bonanova, Barcelona",https://www.idealista.com/ca/inmueble/98327405/,"Vistes espectaculars! Zona comunitària que inclou piscina, solàrium, jardins, àrea infantil, és una propietat ideal per gaudir de la tranquil·litat sense renunciar a les comoditats modernes i ben situat al costat dels millors col·legis de la ciutat, situada prop de la Plaça Bonanova, aquesta propietat consta de 143 m2. construïts segons cadastre, situat en una quarta planta. Plaça d'aparcament doble al mateix edifici inclosa al preu. L'interior de l'habitatge es destaca per la funcionalitat i l'estil. Un rebedor amb armari encastat dóna la be",Walter Haus Barcelona,No indicat,,4,143
1.450.000€,,0%,"Casa o xalet independent a carrer de Ribes, El Fort Pienc, Barcelona",https://www.idealista.com/ca/inmueble/105109195/,"Espectacular casa de diseño con terrazas en Eixample Engels & Völkers té l'honor de presentar aquesta propietat exclusiva: una casa de disseny de luxe creada per un arquitecte de renom, la casa va ser guardonada amb premis d'interiorisme. Aquesta propietat destaca pel seu disseny únic, tant interior com exterior, pensat per als més exigents que busquen alguna cosa realment diferent. És una joia amagada al cor de la ciutat, on el silenci i la tranquil·litat són els protagonistes. La casa ha rebut premis pel seu excepcional disseny interior. Esp",Engel & Völkers Barcelona,Pàrking inclòs,,4,360
1.390.000€,,0%,"Pis a carrer del Doctor Carulla, Les Tres Torres, Barcelona",https://www.idealista.com/ca/inmueble/106270258/,"En una de les zones més exclusives de la ciutat, aquesta àmplia propietat de més de 200 m² t'oferim des de Durán Carasso aquesta exclusiva propietat.    Pis alt orientat a Sud-Oest, a tres vents exterior. Entrada a la finca senyorial, amb conserge. Ascensor principal i de servei. L'habitatge es distribueix en dues àmplies zones de dia i de nit. Molt ben cuidada, requereix actualització o una reforma al teu gust. Menjador ampli i saló enorme que té accés a la terrassa i un altre saló com a sala de lectura o televisió. Cuina àmplia amb office i",Duran Carasso Barcelona,Pàrking inclòs,,6,220
1.900.000€,2.200.000 €,14%,"Pis a carrer del Rosselló, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/100508368/,"Impresionante piso de 170m2, ubicado en una zona privilegiada. La propiedad ha sido completamente reformada con acabados de alta gama, lo que le otorga un aspecto elegante y moderno. Al acceder al piso, te recibirán espacios amplios y luminosos, gracias a la cuidadosa planificación de la distribución y a la generosa cantidad de luz natural que entra por las ventanas. La atención meticulosa a los detalles se evidencia en cada rincón, con materiales de primera calidad y un diseño sofisticado en toda la propiedad. La cocina, completamente equipa",Max Ricart,No indicat,Luxe,2,178
1.375.000€,1.500.000 €,8%,"Pis a Sarrià, Barcelona",https://www.idealista.com/ca/inmueble/105219919/,"Àmplia i lluminós pis amb terrassa i piscina comunitària a Pedralbes Engel & Völkers els presenta en exclusiva aquest preciós habitatge situat en l'exclusiu barri residencial de Pedralbes, de la qual destaquen sobretot la seva amplitud de grandària, la seva gran terrassa orientada a sud/sud-oest molt assolellada i un cert aire colonial molt especial en la seva actual decoració i distribució. Es tracta d'una segona planta d'altura al carrer, una quarta planta real des de la terrassa per l'holografia del terreny amb unes excel·lents vistes als ja",Engel & Völkers Barcelona,Pàrking inclòs,,4,225
1.900.000€,,0%,"Pis a rambla de Catalunya, 104, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/104224446/,"Benvingut a aquesta excepcional propietat ubicada al cor del prestigiós barri de l'Eixample Dret a Barcelona. Situada en un edifici regi del 1900, aquesta residència representa la rica història i l'encant arquitectònic de la ciutat. Gaudeix de la comoditat de tenir botigues de luxe i excel·lents restaurants a poca distància a peu, cosa que et permet viure un estil de vida vibrant i indulgent. Submergeix-te a l'esplendor cultural de Barcelona, amb monuments històrics com les obres mestres de Gaudí molt a prop. L'excel·lent accés al transport púb",Barcelona & Costa Brava Sotheby’s Int. Realty,No indicat,,2,167
1.195.000€,,0%,"Pis a Gran Via de Carles III, Les Corts, Barcelona",https://www.idealista.com/ca/inmueble/105810150/,"En un edifici envoltat de natura, aquest magnífic pis de 212 m² ofereix una combinació ideal de confort, espai i seguretat. Ubicat en un entorn privilegiat, l'edifici compta amb servei de consergeria i seguretat les 24 hores. En entrar, es revela una distribució ben pensada que separa clarament les zones de dia i nit. La zona de dia es compon d'un ampli i lluminós saló amb menjador independent, tots dos amb vistes despejades i accés directe a una preciosa terrassa de 17 m² orientada al sud-oest, on la llum natural és protagonista, ideal per ga",Duran Carasso Barcelona,Pàrking inclòs,,5,212
2.690.000€,2.780.000 €,3%,"Àtic a carrer d'Ausiàs Marc, La Dreta de l'Eixample, Barcelona",https://www.idealista.com/ca/inmueble/101592792/,"Fabuloso ático de 3 dormitorio en la fantástica promoción Casa Burés en el distrito del Eixample de Barcelona en uno de los edificios modernistas más impresionantes y mejor conservados del mundo. La rehabilitación de Casa Burés no sólo conserva la estructura del edificio y sus elementos decorativos catalogados, sino que mantiene todas las ventajas de su arquitectura modernista: luz, espacio, habitabilidad, materiales de alta calidad y la búsqueda de nuevas soluciones y el máximo confort. El proceso de renovación ha reinterpretado los valores",Max Ricart,No indicat,Luxe,3,221
1.790.000€,,0%,"Pis a via Augusta, Sant Gervasi - Galvany, Barcelona",https://www.idealista.com/ca/inmueble/104416944/,"En bonita finca y excelente ubicación y orientación, presentamos esta bonita propiedad a reformar en la que destacamos la gran amplitud de espacios y la cómoda distribución. Accedemos por el gran hall que separa la zona de día de la de noche. La de día se distribuye por un lado en: gran salón con mucha luz y salida a terraza con vistas despejadas, comedor y sala de tv independientes con acceso a terraza cubierta. Por otro lado encontramos la cocina, de grandes dimensiones, con puerta de servicio, amplia zona de aguas y habitación de servicio co",Max Ricart,Pàrking inclòs,Luxe,5,305
